review_date,count
2000-02-14,1
2000-02-15,1
2000-06-13,1
2000-09-13,1
2000-11-03,1
2001-01-16,1
2001-02-27,1
2001-03-21,1
2001-04-18,1
2001-06-19,1
2001-06-29,1
2001-07-10,1
2001-07-24,1
2001-07-25,1
2001-07-28,1
2001-08-02,1
2001-08-10,2
2001-08-24,2
2001-09-08,1
2001-09-19,1
2001-09-28,1
2001-10-03,1
2001-10-29,1
2001-11-20,1
2001-12-03,1
2001-12-04,1
2001-12-05,1
2001-12-16,1
2001-12-19,1
2002-02-10,1
2002-03-02,1
2002-04-23,1
2002-05-25,2
2002-06-11,1
2002-07-09,1
2002-07-24,1
2002-08-24,1
2002-09-07,1
2002-09-10,1
2002-11-11,1
2002-11-15,1
2002-11-18,1
2002-11-24,1
2002-12-19,1
2002-12-23,1
2002-12-29,1
2003-01-01,2
2003-01-05,1
2003-01-07,1
2003-01-12,1
2003-01-27,1
2003-02-20,1
2003-02-26,1
2003-02-28,1
2003-03-04,1
2003-03-10,1
2003-03-14,2
2003-03-26,1
2003-03-27,1
2003-04-12,1
2003-04-13,1
2003-04-15,1
2003-04-19,1
2003-04-22,1
2003-04-23,1
2003-04-24,1
2003-04-30,1
2003-05-07,1
2003-05-14,1
2003-05-20,1
2003-05-23,1
2003-06-03,1
2003-06-09,1
2003-06-12,1
2003-06-13,1
2003-06-17,1
2003-06-18,2
2003-06-19,1
2003-06-22,1
2003-06-25,1
2003-07-11,2
2003-07-12,1
2003-07-15,1
2003-08-07,1
2003-08-12,1
2003-08-21,2
2003-08-23,1
2003-08-24,1
2003-08-26,1
2003-08-27,1
2003-09-01,1
2003-09-09,1
2003-09-13,2
2003-09-16,1
2003-09-22,1
2003-09-23,1
2003-09-29,1
2003-09-30,2
2003-10-08,1
2003-10-10,1
2003-10-15,1
2003-10-16,1
2003-10-24,1
2003-11-02,1
2003-11-07,1
2003-11-09,1
2003-11-12,1
2003-11-20,1
2003-11-26,2
2003-11-30,1
2003-12-03,1
2003-12-07,2
2003-12-13,1
2003-12-14,1
2003-12-16,1
2003-12-19,2
2003-12-20,1
2003-12-21,1
2003-12-31,2
2004-01-02,1
2004-01-03,1
2004-01-04,1
2004-01-05,2
2004-01-13,1
2004-01-16,1
2004-01-19,3
2004-01-21,1
2004-01-22,1
2004-01-28,1
2004-02-04,1
2004-02-10,1
2004-02-13,2
2004-02-15,1
2004-02-16,1
2004-02-22,1
2004-02-25,1
2004-02-28,1
2004-03-05,1
2004-03-09,2
2004-03-11,1
2004-03-17,1
2004-03-19,1
2004-03-24,1
2004-03-25,1
2004-03-27,1
2004-03-28,1
2004-04-01,1
2004-04-05,1
2004-04-14,1
2004-04-16,1
2004-04-25,1
2004-04-26,1
2004-04-29,1
2004-05-07,1
2004-05-09,1
2004-05-10,1
2004-05-18,1
2004-05-22,1
2004-05-29,1
2004-06-01,1
2004-06-03,1
2004-06-05,1
2004-06-09,1
2004-06-13,1
2004-06-16,1
2004-06-18,1
2004-06-19,1
2004-06-20,1
2004-06-21,2
2004-06-23,1
2004-06-24,1
2004-06-25,1
2004-06-26,1
2004-06-27,1
2004-07-01,2
2004-07-03,2
2004-07-05,1
2004-07-07,1
2004-07-09,1
2004-07-12,2
2004-07-16,1
2004-07-20,1
2004-07-21,2
2004-07-23,1
2004-07-26,1
2004-07-30,2
2004-07-31,1
2004-08-01,1
2004-08-02,2
2004-08-03,4
2004-08-04,1
2004-08-06,1
2004-08-08,1
2004-08-11,1
2004-08-12,1
2004-08-13,1
2004-08-15,3
2004-08-16,1
2004-08-17,1
2004-08-19,1
2004-08-23,1
2004-08-25,1
2004-08-26,1
2004-09-05,1
2004-09-09,2
2004-09-10,1
2004-09-13,1
2004-09-14,1
2004-09-15,1
2004-09-17,1
2004-09-19,1
2004-09-20,3
2004-09-21,2
2004-09-23,2
2004-09-24,2
2004-09-25,2
2004-09-26,1
2004-09-27,1
2004-09-30,1
2004-10-01,1
2004-10-03,1
2004-10-05,1
2004-10-06,1
2004-10-08,1
2004-10-13,1
2004-10-15,1
2004-10-16,2
2004-10-17,1
2004-10-18,1
2004-10-19,2
2004-10-20,2
2004-10-21,1
2004-10-27,1
2004-10-28,1
2004-10-30,1
2004-11-02,1
2004-11-07,2
2004-11-09,3
2004-11-11,2
2004-11-12,1
2004-11-15,2
2004-11-17,3
2004-11-18,1
2004-11-19,3
2004-11-20,1
2004-11-22,3
2004-11-23,2
2004-11-24,2
2004-11-26,1
2004-11-27,1
2004-11-28,1
2004-11-30,4
2004-12-02,1
2004-12-03,1
2004-12-05,1
2004-12-07,1
2004-12-08,1
2004-12-09,3
2004-12-10,2
2004-12-11,3
2004-12-13,1
2004-12-14,1
2004-12-17,1
2004-12-19,1
2004-12-20,1
2004-12-21,1
2004-12-22,1
2004-12-23,1
2004-12-24,3
2004-12-28,1
2004-12-29,1
2004-12-30,3
2004-12-31,3
2005-01-04,1
2005-01-05,3
2005-01-06,2
2005-01-09,1
2005-01-12,3
2005-01-13,2
2005-01-15,1
2005-01-16,1
2005-01-17,1
2005-01-18,2
2005-01-19,2
2005-01-20,2
2005-01-21,1
2005-01-23,2
2005-01-26,2
2005-01-27,2
2005-01-28,1
2005-01-29,2
2005-01-31,1
2005-02-02,2
2005-02-03,1
2005-02-05,2
2005-02-06,1
2005-02-07,2
2005-02-11,3
2005-02-13,1
2005-02-15,1
2005-02-17,3
2005-02-19,4
2005-02-21,1
2005-02-22,2
2005-02-23,3
2005-02-24,1
2005-02-25,1
2005-02-26,4
2005-02-28,1
2005-03-01,3
2005-03-02,2
2005-03-03,3
2005-03-04,3
2005-03-06,1
2005-03-07,1
2005-03-08,2
2005-03-09,2
2005-03-10,2
2005-03-12,2
2005-03-15,1
2005-03-16,1
2005-03-17,3
2005-03-18,2
2005-03-19,1
2005-03-20,3
2005-03-22,1
2005-03-23,1
2005-03-24,2
2005-03-26,2
2005-03-27,1
2005-03-28,3
2005-03-29,1
2005-03-30,2
2005-03-31,1
2005-04-01,1
2005-04-02,2
2005-04-03,1
2005-04-04,1
2005-04-05,1
2005-04-06,1
2005-04-07,1
2005-04-08,2
2005-04-09,1
2005-04-11,2
2005-04-13,1
2005-04-14,2
2005-04-15,2
2005-04-16,2
2005-04-18,2
2005-04-19,1
2005-04-20,1
2005-04-25,1
2005-04-27,1
2005-04-29,1
2005-04-30,1
2005-05-04,2
2005-05-05,2
2005-05-06,2
2005-05-07,1
2005-05-08,2
2005-05-09,3
2005-05-10,1
2005-05-16,1
2005-05-17,1
2005-05-18,2
2005-05-19,2
2005-05-22,2
2005-05-24,1
2005-05-25,1
2005-05-27,1
2005-05-28,2
2005-05-31,2
2005-06-01,2
2005-06-02,1
2005-06-03,1
2005-06-04,4
2005-06-05,1
2005-06-08,1
2005-06-10,3
2005-06-11,2
2005-06-14,4
2005-06-15,1
2005-06-16,2
2005-06-17,2
2005-06-19,1
2005-06-20,5
2005-06-21,1
2005-06-22,5
2005-06-23,3
2005-06-25,3
2005-06-28,1
2005-06-29,5
2005-07-01,1
2005-07-02,1
2005-07-03,1
2005-07-04,2
2005-07-05,2
2005-07-07,2
2005-07-08,1
2005-07-09,4
2005-07-10,1
2005-07-11,4
2005-07-12,4
2005-07-13,2
2005-07-14,2
2005-07-15,1
2005-07-18,2
2005-07-19,2
2005-07-21,4
2005-07-22,1
2005-07-23,5
2005-07-24,1
2005-07-25,5
2005-07-26,4
2005-07-27,1
2005-07-28,4
2005-07-29,3
2005-07-30,3
2005-07-31,3
2005-08-01,2
2005-08-02,10
2005-08-03,9
2005-08-04,3
2005-08-05,3
2005-08-06,6
2005-08-07,1
2005-08-08,1
2005-08-09,8
2005-08-10,3
2005-08-11,3
2005-08-12,5
2005-08-13,2
2005-08-14,2
2005-08-15,7
2005-08-16,4
2005-08-17,4
2005-08-18,4
2005-08-19,4
2005-08-20,3
2005-08-21,3
2005-08-22,2
2005-08-23,2
2005-08-24,1
2005-08-25,3
2005-08-26,6
2005-08-27,1
2005-08-28,7
2005-08-29,3
2005-08-30,3
2005-08-31,3
2005-09-01,2
2005-09-02,2
2005-09-03,3
2005-09-04,3
2005-09-05,5
2005-09-06,8
2005-09-07,8
2005-09-08,2
2005-09-09,3
2005-09-10,3
2005-09-11,3
2005-09-12,5
2005-09-13,5
2005-09-14,6
2005-09-15,5
2005-09-16,4
2005-09-17,3
2005-09-18,1
2005-09-19,1
2005-09-21,1
2005-09-23,7
2005-09-24,2
2005-09-25,5
2005-09-26,7
2005-09-27,3
2005-09-28,2
2005-09-29,7
2005-09-30,4
2005-10-02,1
2005-10-03,5
2005-10-04,1
2005-10-05,3
2005-10-07,4
2005-10-08,1
2005-10-09,3
2005-10-10,4
2005-10-11,1
2005-10-12,5
2005-10-13,6
2005-10-14,2
2005-10-15,2
2005-10-16,3
2005-10-17,1
2005-10-18,1
2005-10-19,4
2005-10-20,2
2005-10-21,2
2005-10-22,1
2005-10-24,1
2005-10-25,2
2005-10-26,1
2005-10-27,1
2005-10-28,2
2005-10-29,2
2005-10-30,2
2005-10-31,1
2005-11-02,1
2005-11-04,1
2005-11-06,1
2005-11-07,1
2005-11-08,2
2005-11-10,1
2005-11-14,1
2005-11-15,2
2005-11-16,2
2005-11-18,4
2005-11-19,1
2005-11-20,1
2005-11-21,1
2005-11-22,1
2005-11-26,1
2005-11-27,1
2005-11-28,3
2005-11-29,2
2005-11-30,1
2005-12-01,1
2005-12-02,2
2005-12-03,1
2005-12-04,2
2005-12-05,1
2005-12-06,2
2005-12-07,1
2005-12-08,1
2005-12-09,1
2005-12-10,1
2005-12-12,2
2005-12-13,1
2005-12-14,1
2005-12-15,3
2005-12-16,2
2005-12-17,3
2005-12-19,3
2005-12-20,1
2005-12-21,2
2005-12-22,3
2005-12-23,1
2005-12-24,3
2005-12-25,1
2005-12-26,2
2005-12-27,1
2005-12-28,4
2005-12-29,4
2005-12-30,3
2006-01-03,3
2006-01-05,5
2006-01-08,2
2006-01-09,2
2006-01-10,5
2006-01-11,4
2006-01-12,3
2006-01-13,2
2006-01-15,7
2006-01-18,1
2006-01-19,3
2006-01-20,1
2006-01-21,2
2006-01-22,2
2006-01-23,2
2006-01-24,3
2006-01-25,2
2006-01-26,1
2006-01-27,2
2006-01-28,2
2006-01-29,3
2006-01-30,4
2006-01-31,7
2006-02-01,4
2006-02-02,6
2006-02-03,1
2006-02-06,2
2006-02-07,3
2006-02-09,3
2006-02-11,1
2006-02-12,1
2006-02-13,2
2006-02-14,3
2006-02-15,2
2006-02-16,2
2006-02-17,2
2006-02-18,3
2006-02-19,2
2006-02-20,9
2006-02-21,3
2006-02-22,4
2006-02-23,10
2006-02-24,15
2006-02-25,8
2006-02-26,3
2006-02-27,10
2006-02-28,3
2006-03-01,3
2006-03-02,7
2006-03-03,6
2006-03-04,4
2006-03-05,1
2006-03-06,1
2006-03-07,7
2006-03-08,10
2006-03-09,14
2006-03-10,9
2006-03-11,2
2006-03-12,6
2006-03-13,6
2006-03-14,2
2006-03-15,6
2006-03-16,12
2006-03-17,6
2006-03-18,6
2006-03-19,17
2006-03-20,12
2006-03-21,3
2006-03-22,11
2006-03-23,5
2006-03-24,5
2006-03-25,3
2006-03-26,4
2006-03-28,1
2006-03-29,3
2006-03-30,4
2006-03-31,1
2006-04-02,3
2006-04-03,1
2006-04-04,3
2006-04-06,1
2006-04-07,2
2006-04-09,1
2006-04-10,1
2006-04-11,3
2006-04-12,2
2006-04-14,5
2006-04-15,1
2006-04-16,3
2006-04-18,2
2006-04-19,1
2006-04-20,2
2006-04-21,4
2006-04-22,1
2006-04-26,1
2006-04-27,3
2006-04-29,1
2006-04-30,1
2006-05-01,1
2006-05-02,2
2006-05-03,2
2006-05-04,2
2006-05-05,2
2006-05-06,1
